State,Store Name,Store Address,Store Timings,Store Name + State,latitude,longitude
Pune,ELPORO MALL,"Elporo Mall ,chapekar Chouk, Chinhwad ,pune",10:00 AM to 9:00 PM,"ELPORO MALL, Pune",18.62836,73.78449
Pune,MINISO PUNE,"Elporo Mall ,chapekar Chouk, Chinhwad ,pune",10:00 AM to 9:00 PM,"MINISO PUNE, Pune",18.51872,73.9335
Pune,KUMAR PACIFIC MALL STORE,Kumar Pacific Mall Shankar Sheth Road Gultekdi Pune - 411042,10:00 AM to 10:00 PM,"KUMAR PACIFIC MALL STORE, Pune",18.50158,73.87224
Pune,KUMAR PACIFIC MALL,"Shankar Sheth Rd, Vrindavan Society, Guru Nanak Nagar, Pune, Maharashtra - 411042",11:00 AM to 10:00 PM,"KUMAR PACIFIC MALL, Pune",18.50158,73.87224
Pune,THE PAVILLION MALL,"Senapati Bapat Road, Durga Nagar, Model Colony, Shivajinagar, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra - 411016",11:00 AM to 10:00 PM,"THE PAVILLION MALL, Pune",18.53299,73.82998
Pune,PHOENIX MALL,"Clover Park, Viman Nagar, Pune, Maharashtra - 411014",11:00 AM to 10:00 PM,"PHOENIX MALL, Pune",18.56092,73.91715
Pune,AMANORA MALL,"Store No. Wb-gf-45, 46 & 47, Ground Floor, Amanora Mall, Pune, Maharashtra - 411028",11:00 AM to 10:00 PM,"AMANORA MALL, Pune",18.51856,73.93687
punjab,MINISO PATHANKOT,Golds Gym Building Dhangu Road Pathankot,10:00 AM to 9:00 PM,"MINISO PATHANKOT, punjab",32.27054,75.64904
punjab,MINISO CHANDIGARH,"Sco 8 Inner Market Sector 8b, Chandigarh",10:00 AM to 9:00 PM,"MINISO CHANDIGARH, punjab",30.54398,75.95563
Purnea,PURNEA,"Miniso Showroom Harsha Hotel Road Chitravani Chowk Purnea Bihar,india 84301",11:00 AM to 10:00 PM,"PURNEA, Purnea",25.77687,87.47435
Raipur,AMBUJA MALL RAIPUR,"Ambuja City Center Mall, Vill- Mowa Vidhan Sabha Road, Kusha Bahu Tahkre, Raipur Chattishgarh-492007
",11:00AM-10:00PM,"AMBUJA MALL RAIPUR, Raipur",21.27651,81.6868
Raipur,MAGNETO MALL,"Gf-06a, Ground Floor, Magneto The Mall G. E Road, Labhandhi, Raipur Chattishgarh-492001",11:00AM - 10:00PM,"MAGNETO MALL, Raipur",21.23926,81.68352
Raipur,AMBUJA CITY CENTRE,"Shop No. 55, Ambuja City Centre, Main Vidhan Sabha Road, Near Saddu, Nala, Mowa, Raipur, Chhattisgarh - 492007",,"AMBUJA CITY CENTRE, Raipur",21.27551,81.68717
Rajkot,CRYSTAL MALL,"Shop No: 1-a, Ground Floor, Crystal Mall, Opp. Rani Tower, Ghanshyam Nagar, Rajkot, Gujarat - 360005",,"CRYSTAL MALL, Rajkot",22.27966,70.76366
Ranchi,DELUX ENCLAVE,Delux Enclave Ground Floor Opposite Plaza Cinema Hb Road Tharpakna Lalpur Ranchi Jharkhand 834001,11:00 AM - 9:00PM,"DELUX ENCLAVE, Ranchi",23.35065,85.31374
Ranchi,NUCLEUS MALL,"Shop No. 53, Nucleus Mall, Circular Road, Lalpur, Ranchi, Jharkhand - 834001",11:00 AM to 10:00 PM,"NUCLEUS MALL, Ranchi",23.36542,85.33216
Rohini,CITY CENTRE ROHINI,Shop No. G12 City Centre Mall Rohini West,11:00 AM - 10:00 PM,"CITY CENTRE ROHINI, Rohini",28.71748,77.11474
Rohini,ROHINI,"A-1/9, Pocket 1, Sector 8, Rohini, Delhi 110085, Near Deepali Chowk",10:00 AM to 10:00 PM,"ROHINI, Rohini",28.74322,77.06778
Rohtak,MODEL TOWN,"Shop No. 390, Near Hdfc Bank, Model Town, Rohtak, Haryana 124001",11:00 AM - 10:00 PM,"MODEL TOWN, Rohtak",28.8893,76.61172
Salem,SHARDHA COLLEGE ROAD STORE,"Narasus Murli Complex , Shardha College Road, Salem Tamil Nadu 636016",10:00 AM to 9:30 PM,"SHARDHA COLLEGE ROAD STORE, Salem",11.66332,78.1827
Salem,SARADA COLLEGE RD,"Narasus Murli Complex, Sarada College Road, Salem, Tamil Nadu - 636016",11:00 AM to 9:00 PM,"SARADA COLLEGE RD, Salem",11.6636677,78.18140711
Siliguri,COSMOS MALL,"Cosmos Mall, Sevoke Road, Opp. Power House, Ward 43, Ward 43, Dasrath Pally, Bhanu Nagar, Siliguri, West Bengal - 734001",11:00 AM to 10:00 PM,"COSMOS MALL, Siliguri",26.73851,88.43454
